X,Y,OBJECTID,Sign_Type,Size_,Supplement,Sign_Post,Year_Insta,Category,Notes,MUTCD,Ownership,FACILITYID,Schools,Location_Adjusted,Replacement_Zone,Sign_Text,Set_ID,FieldVerifiedDate
-9822752.01226842,4887653.93470103,1,Streetname - Mast Arm,"16"" X 42""", ,Traffic Signal Mast Arm, ,Streetname, ,D3-1,Champaign,1,,AERIAL,L,Mercury Dr,1,
-9822751.72354012,4887683.30017848,2,Streetname - Mast Arm,"16"" X 42""", ,Traffic Signal Mast Arm, ,Streetname, ,D3-1,Champaign,2,,AERIAL,L,N Market St,2,
-9828662.01808626,4879483.90715145,3,No Outlet,"30"" X 30""", ,Punched Telespar,2010,Warning, ,W14-2,Champaign,3,,AERIAL,E,,3,
-9828960.27366333,4879769.84381104,4,No Outlet,"30"" X 30""", ,Punched Telespar,2010,Warning, ,W14-2,Champaign,4,,AERIAL,E,,4,
-9827840.35123621,4880135.4828099,5,No Outlet,"30"" X 30""", ,Punched Telespar,2010,Warning, ,W14-2,Champaign,5,,AERIAL,E,,5,
-9827280.20101259,4879663.34446508,6,No Outlet,"30"" X 30""", ,Punched Telespar,2010,Warning, ,W14-2,Champaign,6,,AERIAL,E,,6,
-9827279.78269803,4879555.52935756,7,No Outlet,"30"" X 30""", ,Punched Telespar,2016,Warning, ,W14-2,Champaign,7,,AERIAL,E,,7,
-9824139.11650266,4883693.20871616,8,Streetname - Sesquicentennial,"6"" X 30""", ,Unpunched Telespar, ,Streetname,,N/A,Champaign,8,,AERIAL,A,W 600 Vine  St,8,
-9823956.45410791,4883560.23398342,9,Streetname - Sesquicentennial,"6"" X 30""", ,Punched Telespar, ,Streetname,,N/A,Champaign,9,,AERIAL,A,N600 Elm St,9,
-9827141.97311306,4879319.01923187,10,No Outlet,"30"" X 30""", ,Punched Telespar,2010,Warning, ,W14-2,Champaign,10,,AERIAL,E,,10,
-9827133.64967315,4879453.17006437,11,No Outlet,"30"" X 30""", ,Punched Telespar,2010,Warning, ,W14-2,Champaign,11,,AERIAL,E,,11,
-9827131.44767958,4879527.18154668,12,No Outlet,"30"" X 30""", ,Punched Telespar,2010,Warning, ,W14-2,Champaign,12,,AERIAL,E,,12,
-9827113.95178085,4880112.54662207,13,No Outlet,"30"" X 30""", ,Punched Telespar,2010,Warning, ,W14-2,Champaign,13,,AERIAL,E,,13,
-9828637.63561219,4880226.68243007,14,No Parking to Corner,"12"" X 18""", ,Punched Telespar, ,Parking, ,HR7-11,Champaign,14,,AERIAL,D,,14,
-9828651.30201871,4880214.5194853,15,No Parking to Corner,"12"" X 18""", ,Punched Telespar, ,Parking, ,HR7-11,Champaign,15,,AERIAL,D,,15,
-9828177.89321125,4880132.45509406,16,30 mph Speed Limit,"24"" X 30""", ,Punched Telespar, ,Regulatory, ,R2-1,Champaign,16,,AERIAL,E,,16,
-9828946.03448483,4879502.77323021,17,30 mph Speed Limit,"24"" X 30""", ,Punched Telespar, ,Regulatory, ,R2-1,Champaign,17,,AERIAL,E,,17,
-9828970.4069972,4879578.86872309,18,35 mph Speed Limit,"24"" X 30""", ,Unpunched Telespar, ,Regulatory, ,R2-1,Champaign,18,,AERIAL,E,,18,
-9828647.69779254,4879492.90641255,19,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,19,,AERIAL,E,,19,
-9828661.05104834,4879519.46205198,20,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,20,,AERIAL,E,,20,
-9828635.94603319,4880242.51685136,21,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,21,,AERIAL,D,,21,
-9828184.93118962,4880138.77428281,22,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,22,,AERIAL,E,,22,
-9828183.56055742,4880034.68641208,23,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,23,,AERIAL,E,,23,
-9828157.24724758,4880047.32064755,24,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,24,,AERIAL,E,,24,
-9828182.82709276,4879928.14005381,25,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,25,,AERIAL,E,,25,
-9828157.22630527,4879940.3055802,26,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,26,,AERIAL,E,,26,
-9828181.40442011,4879823.80152901,27,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,27,,AERIAL,E,,27,
-9832194.56752729,4878512.93440627,28,Streetname,"6"" X 30""", ,Punched Telespar, ,Streetname, ,D3-1,Champaign,28,,AERIAL,E,Villa Dr,28,
-9828558.24604536,4879517.36898661,29,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,29,,AERIAL,E,,29,
-9828440.51874282,4879489.84395258,30,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,30,,AERIAL,E,,30,
-9828959.24107356,4879518.89517237,31,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,31,,AERIAL,E,,31,
-9828961.89265103,4879783.0070822,32,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,32,,AERIAL,E,,32,
-9828962.481249,4879915.93452784,33,Stop,"30""", ,Unpunched Telespar,2010,Regulatory, ,R1-1,Champaign,33,,AERIAL,E,,33,
-9828127.88362356,4879674.66787212,34,Stop,"30""", ,Punched Telespar,2013,Regulatory, ,R1-1,Champaign,34,,AERIAL,E,,34,
-9828116.31365238,4879702.4648798,35,Stop,"30""", ,Punched Telespar,2010,Regulatory, ,R1-1,Champaign,35,,AERIAL,E,,35,
-9827636.29647756,4879878.78336096,36,Stop,"30""", ,Punched Telespar,2014,Regulatory, ,R1-1,Champaign,36,,AERIAL,E,,36,
-9827250.31134335,4879754.37574614,37,Stop,"30""", ,Punched Telespar,2010,Regulatory, ,R1-1,Champaign,37,,AERIAL,E,,37,
-9827241.343695,4879661.10649632,38,Stop,"30""", ,Punched Telespar,2010,Regulatory, ,R1-1,Champaign,38,,AERIAL,E,,38,
-9827264.46692166,4879783.13979399,39,Stop,"30""", ,Punched Telespar,2010,Regulatory, ,R1-1,Champaign,39,,AERIAL,E,,39,
-9827121.9604221,4879994.91963668,40,Stop,"30""", ,Punched Telespar,2010,Regulatory, ,R1-1,Champaign,40,,AERIAL,E,,40,
-9827151.66044805,4879982.83776096,41,Stop,"30""", ,Punched Telespar,2010,Regulatory, ,R1-1,Champaign,41,,AERIAL,E,,41,
-9827485.41851208,4880150.14534731,42,Stop,"30""", ,Punched Telespar,2010,Regulatory, ,R1-1,Champaign,42,,AERIAL,E,,42,
-9827577.75916726,4880097.38568949,43,Stop,"30""", ,Punched Telespar,2010,Regulatory, ,R1-1,Champaign,43,,AERIAL,E,,43,
-9827665.8526804,4879866.99645474,44,Stop,"30""", ,Punched Telespar,2010,Regulatory, ,R1-1,Champaign,44,,AERIAL,E,,44,
-9828638.87052611,4880039.40588581,45,Streetname,"6"" X 30""", ,Punched Telespar, ,Streetname, ,D3-1,Champaign,45,,AERIAL,E,Stratford Dr,45,
-9828635.86676991,4879947.08441397,46,Streetname,"6"" X 30""", ,Punched Telespar, ,Streetname, ,D3-1,Champaign,46,,AERIAL,E,Stratford Dr,46,
-9823427.99385485,4884460.35967691,47,Push Button to Cross,"8"" X 12""", ,Traffic Signal Standard, ,Regulatory,Bradley Ave,R10-3,Champaign,47,,AERIAL,L,,47,
-9822273.50491343,4883468.51067321,48,No Parking,"12"" X 18""", ,Streetlight, ,Parking,,R7-1,Champaign,48,,AERIAL,J,,48,
-9828642.31732527,4879827.82793607,49,Streetname,"6"" X 30""", ,Punched Telespar, ,Streetname, ,D3-1,Champaign,49,,AERIAL,E,Stratford Dr,49,
